Origin,Dest,2008,2009
Azerbaijan,Slovakia,,
Cyprus,United Kingdom,3,3
Iraq,Bahrain,48,139
Austria,France,,
Poland,Belgium,335,302
Niger,Ireland,8,8
Côte d'Ivoire,Mauritania,295,330
Albania,New Zealand,3,3
Uzbekistan,United Kingdom,26,28
Tajikistan,Turkey,,
Venezuela,United States,4718,5171
Syria,Norway,154,152
Panama,Peru,,
Iraq,Estonia,1,1
South Korea,Netherlands,8,8
Armenia,Germany,2527,3691
Rwanda,Djibouti,,
Uganda,Burkina Faso,,
Nigeria,Netherlands,202,205
Pakistan,Portugal,,
Sierra Leone,Cuba,,
Morocco,Switzerland,22,28
Somalia,United States,10154,7112
Nepal,Belgium,24,25
Angola,Ethiopia,,
Azerbaijan,Switzerland,56,68
Chad,"Congo, Dem.Rep.",,0
Congo,Kenya,,25
Iran,Honduras,4,4
Angola,Denmark,17,16
United States,Ecuador,2,3
Tanzania,Slovakia,2,2
Iran,Switzerland,2936,1255
Pakistan,United States,3936,3690
China,Hungary,18,19
Eritrea,Burkina Faso,,
Croatia,Chile,3,
Croatia,Ecuador,,
Ecuador,Sweden,58,60
Mexico,Germany,159,32
Togo,Ecuador,2,2
Egypt,Austria,32,36
Germany,Netherlands,3,3
Ukraine,Mexico,,
Ecuador,Romania,3,3
Georgia,Portugal,,2
Eritrea,Poland,2,2
Romania,Austria,53,45
Togo,Austria,23,28
Bulgaria,Argentina,2,2
Guatemala,Honduras,,
"Congo, Dem.Rep.",Netherlands,1152,1084
Ecuador,Congo,2,2
Bosnia & Herz.,Cyprus,15,15
Myanmar,Germany,729,756
Costa Rica,Argentina,,6
Eritrea,Hungary,3,3
Ghana,Togo,8113,8073
Egypt,New Zealand,8,9
Guinea-Bissau,Angola,1,2
"Congo, Dem.Rep.",Ghana,17,24
Iran,Egypt,1,1
Niger,Mali,,2
Sierra Leone,Ghana,132,132
Mali,Ecuador,1,2
Peru,United States,2311,1752
Sierra Leone,Honduras,,
Mali,Mozambique,,
Bangladesh,Mexico,4,4
Uganda,Switzerland,33,30
Bosnia & Herz.,Kazakhstan,,
Nicaragua,Australia,,
Argentina,Netherlands,1,1
Liberia,Bahamas,,
Somalia,Libya,573,643
Rwanda,Australia,11,15
Sudan,Angola,41,135
Cuba,Finland,9,10
Côte d'Ivoire,Ukraine,1,1
Portugal,Australia,,
Ecuador,Honduras,,
Ethiopia,Rwanda,4,4
Uganda,South Korea,1,10
Congo,Madagascar,,
Azerbaijan,Czech Rep.,25,24
Sudan,Latvia,1,1
Sweden,Canada,6,6
Cambodia,Poland,1,0
Djibouti,Australia,,
Latvia,Uruguay,5,5
Iran,Liechtenstein,2,2
Rwanda,Togo,806,239
Chile,Netherlands,2,2
Armenia,Ireland,42,43
Liberia,Portugal,3,3
Afghanistan,Turkey,347,1040
Liberia,Central Afr. Rep.,26,26
Bangladesh,United Kingdom,2018,1856
Uzbekistan,Lithuania,10,11
Armenia,Portugal,,0
Uzbekistan,Iceland,1,1
Uganda,Angola,,1
Cameroon,Morocco,4,6
Azerbaijan,Uruguay,,
Iraq,United States,4788,5427
Myanmar,Denmark,52,53
Nigeria,Philippines,1,0
Sierra Leone,South Africa,52,52
Sri Lanka,Ethiopia,,
Bolivia,Colombia,1,1
Nigeria,France,606,658
Iran,Czech Rep.,31,32
Russia,Senegal,,
Kuwait,United States,71,69
Côte d'Ivoire,Zimbabwe,,
Mauritania,Finland,3,4
India,Czech Rep.,,2
Algeria,Czech Rep.,1,1
Ethiopia,Qatar,,
Sudan,Malaysia,21,41
Jordan,Philippines,1,0
Mauritius,Sweden,1,1
Sri Lanka,Bangladesh,2,5
Liberia,Malta,6,6
Indonesia,Norway,9,3
Turkmenistan,Netherlands,23,18
Cyprus,Switzerland,,0
Greece,Uganda,1,1
Kazakhstan,Malta,,1
Viet Nam,Denmark,88,69
Chad,France,892,980
Cameroon,Algeria,3,6
Ethiopia,Canada,1732,1742
Iraq,Tunisia,12,9
Eritrea,Djibouti,150,293
Sierra Leone,Togo,10,
Tanzania,Central Afr. Rep.,2,2
Iran,Syria,169,158
Ethiopia,Russia,12,12
Sri Lanka,Togo,8,4
Tunisia,Netherlands,49,46
Emirates,United Kingdom,2,2
Libya,Finland,24,25
Viet Nam,Netherlands,50,48
Croatia,United States,131,129
Mali,United Kingdom,10,10
Ethiopia,Mozambique,,
Chad,Uganda,,1
Bulgaria,Bolivia,,
Sudan,Mozambique,1,2
Liberia,Brazil,249,259
Ukraine,Greece,3,3
Tunisia,Côte d'Ivoire,,
Sri Lanka,Jordan,1,1
Sudan,Belgium,47,48
Myanmar,Austria,6,6
Israel,Ireland,26,26
Cuba,Denmark,2,1
Iran,Botswana,,
Sri Lanka,Hong Kong,29,19
Rwanda,Ethiopia,7,10
Kyrgyzstan,Austria,156,194
Romania,Canada,1203,1088
Gabon,Switzerland,1,3
Comoros,South Africa,,
Peru,Finland,4,4
Kenya,Ireland,107,110
Bhutan,Ireland,12,12
Senegal,South Africa,1,1
Libya,Algeria,1,6
Pakistan,Afghanistan,,
Liberia,Lebanon,,
Czech Rep.,Spain,,
Congo,Benin,272,266
Central Afr. Rep.,Sweden,,
Peru,Italy,8,15
Sierra Leone,Mozambique,1,1
Macedonia,Germany,5729,6081
Sudan,Portugal,2,2
Pakistan,Thailand,13,25
Pakistan,Moldova,1,3
Argentina,Panama,1,1
Cameroon,Togo,6,0
Rwanda,Belgium,1108,1046
Madagascar,Hungary,1,1
Germany,Sweden,6,6
Guyana,Belgium,,
Egypt,Greece,3,3
Cameroon,Belarus,,
Armenia,Bulgaria,25,30
Nigeria,Zambia,4,4
Pakistan,Croatia,2,0
Myanmar,Finland,13,14
Hungary,Belgium,112,103
Guinea,Czech Rep.,7,6
Madagascar,Germany,21,15
Macedonia,Brazil,5,6
Pakistan,Lithuania,2,2
Zimbabwe,Botswana,808,860
Burundi,Czech Rep.,1,1
Cameroon,Ireland,160,167
Congo,Romania,43,36
Uzbekistan,Hungary,10,10
Mozambique,Ukraine,1,1
China,United States,47277,51480
Honduras,Italy,1,2
India,Kyrgyzstan,,
Estonia,Netherlands,,
Syria,Sweden,1084,1118
Italy,Switzerland,1,3
Somalia,Iraq,,
Uruguay,France,,
Namibia,Nigeria,,
Kenya,New Zealand,1,2
Cameroon,Kenya,,1
Moldova,Ireland,221,227
Kenya,Chile,1,
Montenegro,Bosnia & Herz.,1,1
Ecuador,Germany,154,127
Kenya,South Africa,32,36
Syria,Russia,2,4
Slovakia,Ethiopia,,
Pakistan,Hong Kong,16,18
Libya,Jordan,2,0
Somalia,France,686,835
Fiji,United States,1281,1279
Cameroon,Luxembourg,,0
Eritrea,Turkey,26,41
Central Afr. Rep.,Hong Kong,,
Costa Rica,United States,15,16
Armenia,Czech Rep.,84,83
Kyrgyzstan,Sweden,138,146
Burundi,Eritrea,,
Honduras,Cuba,,
Kyrgyzstan,Germany,1370,1358
Uzbekistan,Ukraine,10,15
Panama,Mexico,,
Sri Lanka,Venezuela,,
Malawi,Germany,5,2
Morocco,Iceland,1,1
Nepal,Mexico,5,5
Senegal,Portugal,,1
Côte d'Ivoire,China,,
Iraq,Kuwait,30193,175
Bosnia & Herz.,Austria,205,206
Nicaragua,Argentina,2,2
Zimbabwe,Italy,10,20
Mozambique,South Africa,,
Guinea,Benin,6,7
Sudan,Uzbekistan,,
Guinea,Ethiopia,1,0
Saint Lucia,Germany,5,0
Bhutan,Brazil,2,2
Myanmar,Cambodia,5,9
Libya,Ghana,,
Tajikistan,Sweden,52,48
Ethiopia,Austria,98,113
Burundi,Benin,35,33
Iraq,Kenya,,2
Guatemala,Bolivia,,
Angola,Belgium,128,109
Sudan,Zimbabwe,11,27
Libya,Czech Rep.,,2
Togo,Cameroon,17,20
Sierra Leone,Paraguay,1,1
Guyana,Canada,569,591
India,Germany,1827,2879
Haiti,Belgium,8,8
Japan,United States,9,11
Eritrea,Angola,4,5
Iran,Cuba,1,1
Syria,Cuba,,
Romania,Zimbabwe,,
Colombia,Australia,219,191
Maldives,United States,3,5
Syria,India,,
Niger,Australia,2,1
Chile,United Kingdom,,
Cameroon,Netherlands,207,215
Romania,Venezuela,,
Montenegro,Switzerland,16,23
Belarus,Denmark,37,30
Chad,Sweden,5,8
Sri Lanka,Belarus,,
Egypt,South Korea,,
Malawi,Italy,1,1
Guinea,Portugal,8,8
Philippines,Greece,,
El Salvador,Spain,,
Cameroon,Madagascar,,
Yemen,Syria,54,18
Congo,Ukraine,44,27
Liberia,Ireland,46,42
Haiti,Norway,2,2
Central Afr. Rep.,Sudan,245,1582
Cuba,Cayman Islands,,1
Nigeria,Cyprus,1,3
Morocco,Greece,4,3
Zimbabwe,Ethiopia,1,1
Indonesia,New Zealand,,406
Western Sahara,Algeria,90000,90000
Nigeria,Turkey,1,4
Malaysia,Sweden,8,5
Spain,Tunisia,,
Nepal,Poland,3,5
Russia,Norway,3790,3969
Mauritania,Argentina,1,1
Central Afr. Rep.,Norway,1,1
Liberia,Germany,252,357
Algeria,Panama,,
Sudan,Austria,163,171
Uganda,Spain,1,1
Mauritania,Hungary,1,1
Venezuela,Australia,,7
Ukraine,Brazil,,1
Russia,Greece,18,18
Zimbabwe,Netherlands,24,30
Bangladesh,Somalia,3,3
Morocco,Hungary,2,2
Gambia,Switzerland,21,25
Nepal,Israel,,1
Suriname,Netherlands,5,5
Armenia,Moldova,27,21
Somalia,Trinidad & Tobago,3,3
North Korea,Belgium,9,13
Turkey,Australia,372,246
Dominican Rep.,Italy,,
Morocco,Ukraine,,
Armenia,Iceland,4,4
Chad,Syria,1,1
Comoros,Australia,,
Iran,Italy,617,694
Dominican Rep.,United States,29,33
Eritrea,Afghanistan,,1
Mauritania,Germany,36,47
Burundi,Italy,19,16
Niger,Nigeria,,1
Burundi,Tunisia,4,4
Syria,Israel,1,0
Iran,Guatemala,,
Togo,Hong Kong,,
Bosnia & Herz.,Jordan,12,12
Cameroon,Botswana,,1
Ethiopia,Lebanon,19,16
Togo,United States,2433,2419
Eritrea,Namibia,,1
Malawi,Netherlands,1,1
Macedonia,Romania,1,1
Hong Kong,Canada,1,1
Argentina,Australia,,1
Cameroon,Slovakia,1,3
Uganda,Bahrain,,
Somalia,Chile,1,
Moldova,Austria,111,121
Kenya,Central Afr. Rep.,,
Sierra Leone,Mexico,1,1
Turkmenistan,Russia,5,12
Liberia,Swaziland,36,36
Sudan,Nigeria,188,178
Afghanistan,Papua New Guinea,,2
Turkey,Cyprus,98,119
Armenia,Peru,1,1
India,Slovakia,,
Panama,Ecuador,2,2
Sri Lanka,Nigeria,13,16
Peru,Sweden,133,128
Niger,Burkina Faso,,
Chile,Austria,,
Armenia,Mexico,,
Nigeria,Malaysia,1,2
Gambia,Portugal,1,1
Egypt,Somalia,,
Ethiopia,Algeria,,1
Laos,Germany,171,173
Chad,Egypt,16,16
China,Singapore,2,2
Mongolia,Italy,5,5
Uzbekistan,Turkey,37,49
Afghanistan,Chad,,
Israel,New Zealand,4,4
Croatia,Denmark,13,7
Congo,New Zealand,13,15
Czech Rep.,United Kingdom,120,120
Tajikistan,Denmark,1,0
Kazakhstan,Ukraine,5,7
Poland,Uruguay,,
Haiti,Côte d'Ivoire,,
Estonia,Australia,,0
St Vincent,Canada,748,847
Albania,Poland,1,1
Uganda,Costa Rica,2,2
Saudi Arabia,Switzerland,,0
Jordan,Papua New Guinea,1,1
Jordan,Belgium,6,13
Zambia,Sweden,1,1
India,New Zealand,12,12
Turkey,New Zealand,18,18
Latvia,Sweden,14,14
Mali,Romania,,
Kyrgyzstan,Latvia,,1
Chad,Libya,8,21
Iraq,Morocco,135,157
Benin,Ukraine,1,0
Sri Lanka,Papua New Guinea,,4
Pakistan,Japan,12,12
Côte d'Ivoire,South Africa,7,7
Congo,Rwanda,,
Somalia,Italy,5251,7747
Algeria,Kazakhstan,,
Eritrea,Denmark,18,21
Mauritania,Canada,254,268
Syria,Belgium,152,177
Liberia,Uganda,3,3
Rwanda,Central Afr. Rep.,291,329
Ethiopia,Guatemala,,
Syria,Egypt,9,9
Colombia,Ecuador,100637,115745
Eritrea,Thailand,,
Azerbaijan,Georgia,3,3
Belarus,United Kingdom,82,95
Liberia,Côte d'Ivoire,24256,24033
Croatia,Canada,85,86
Montenegro,Canada,2,2
Trinidad & Tobago,United Kingdom,2,4
Papua New Guinea,Solomon Islands,,
Somalia,Gambia,4,0
Angola,Kenya,,
Ghana,Austria,23,31
Liberia,Mauritania,185,184
Ghana,Portugal,1,1
Burundi,India,,
Philippines,Sweden,37,37
Indonesia,Finland,1,1
Burundi,Greece,13,9
Somalia,Armenia,,
Thailand,United Kingdom,8,11
Afghanistan,Lebanon,8,8
Serbia,India,,
Macedonia,Spain,,
Mauritania,Iceland,,1
El Salvador,Argentina,,
Somalia,Uganda,6085,8172
China,India,100003,100003
Cambodia,Germany,130,156
Guinea,Algeria,,
Iran,Tajikistan,5,0
Saudi Arabia,Thailand,1,1
Afghanistan,Moldova,10,9
Uruguay,Belgium,2,2
Czech Rep.,Venezuela,,
Morocco,Belgium,9,14
Togo,Senegal,1,1
Sudan,Jordan,44,191
Namibia,Australia,,
Dominican Rep.,Costa Rica,6,6
Angola,Argentina,15,14
Serbia,Liechtenstein,62,62
"Congo, Dem.Rep.",Iceland,1,1
Honduras,France,,0
Slovakia,Iceland,4,4
Mexico,United States,1227,1384
Ethiopia,Slovenia,1,1
Iraq,Serbia,60,44
South Africa,Belgium,2,2
Somalia,Algeria,4,5
Ethiopia,Cuba,6,1
"Congo, Dem.Rep.",Costa Rica,3,3
"Congo, Dem.Rep.",Canada,5687,5284
El Salvador,Ecuador,5,5
Kenya,Spain,,
Angola,New Zealand,2,2
Turkey,Iraq,15716,10125
Tunisia,Emirates,1,1
Slovakia,Netherlands,30,21
Haiti,Netherlands,2,2
El Salvador,Canada,849,889
Afghanistan,Spain,69,70
Côte d'Ivoire,Mexico,6,6
Madagascar,Slovakia,,
Guinea,Germany,404,572
Bosnia & Herz.,Germany,24697,24947
Chad,South Africa,,
Cameroon,United Kingdom,829,871
Syria,Canada,603,577
Russia,Spain,507,464
Somalia,Czech Rep.,19,27
Somalia,Luxembourg,,0
Grenada,United States,5,8
Indonesia,Sweden,5,6
Croatia,Czech Rep.,3,3
Bolivia,Austria,6,6
Guyana,United Kingdom,5,5
Austria,Austria,,
Congo,Bolivia,1,1
Congo,Guinea,12,12
Laos,Kazakhstan,,
Nicaragua,Belize,13,5
Morocco,Botswana,,
Serbia,Panama,,
Cuba,Australia,5,6
China,Romania,3,4
Gambia,Iceland,,
Equatorial Guinea,Nigeria,4,4
Ethiopia,Jordan,,
Bosnia & Herz.,Ghana,,
Sweden,Australia,,1
Mali,Sweden,2,5
Zambia,Namibia,,
Bosnia & Herz.,South Africa,27,27
Côte d'Ivoire,Switzerland,104,114
Myanmar,Sweden,40,46
Nepal,Moldova,,1
Laos,Canada,5,5
Georgia,United Kingdom,41,43
Liberia,Egypt,6,6
Ukraine,Sweden,162,163
Iran,Azerbaijan,97,113
China,Portugal,,
Central Afr. Rep.,Tunisia,,1
Haiti,Bahamas,,
Syria,Azerbaijan,,0
Congo,Belgium,36,34
Burundi,Côte d'Ivoire,36,33
Guatemala,Brazil,2,2
Bolivia,Netherlands,,
Djibouti,Sweden,1,1
Mauritius,Canada,6,7
