Origin,Dest,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
SDN,ARE,,,,,,,,,,,,,,,,,,,5,8,11,14,14,14,8,8,8,8,8,7,7,18,18,17,15
DEU,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
UGA,GBR,,,,,,,,,,,,,,905,1442,1734,1757,2866,3907,3893,3865,3838,3879,3620,,3150,3195,2335,1624,1818,1863,1870,1816,1760,1601
IRN,JPN,,,,,,,,,,50,,,,,,,,,,,,5,2,2,13,16,30,39,39,39,37,43,42,36,31
PHL,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,1,1,1
ZAF,LSO,190,900,930,990,500,10000,11500,11500,11500,11660,11500,11500,4000,4230,4248,212,208,103,35,35,,,,,,,,,,,,,,,
PRY,USA,,,,,,,,,,,,,,,,,,,,,,1,2,2,3,4,,11,9,10,14,19,19,19,22
COL,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
MUS,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,9,9,9,9
KHM,NLD,,,,,,,,,,,,,,,,,,95,95,95,99,104,102,102,,31,40,40,41,41,41,46,14,14,19
MWI,MOZ,30000,,,,,,,,,,,,,,,50,50,50,,,,,,,,,,,,,,,,,
BRN,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
COL,PRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,8,14,18
SOM,TUR,,,,,,,,,,,,,,,,,,,,,,,25,17,12,11,13,23,29,70,66,139,668,862,922
LKA,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,17403,15121,12850,15304,5832,6388,6594,12248
ARG,DNK,,,,,,,,,,,,,,,73,36,26,7,7,7,7,7,,,,,,,,,,,,,
AFG,TJK,,,,,,,,,,,,,,,,,,3000,300,695,928,1161,2164,3622,4531,15354,15336,3427,3304,1816,1006,917,1126,1790,2673
ERI,UGA,,,,,,,,,,,,,,,,,,,,,,,,2,16,27,3,3,10,12,4,6,139,796,3046
IRQ,LBR,,,,,,,,,,,,,,,,,,,3,3,2,2,2,2,2,1,3,3,3,,3,3,3,3,3
GBR,CAN,,,,,,,,,,,,,,,,,,,,106,73,41,39,38,,32,27,27,22,21,29,32,59,61,57
NIC,CRI,,,,130000,15050,960,2000,3000,3910,8100,15200,22000,22600,31988,38560,33021,28128,27842,19964,19504,18747,17990,17842,17732,17532,2715,2636,2635,2632,619,619,619,619,619,620
ROU,ITA,,,,,,772,854,967,941,882,921,934,900,868,817,869,740,593,537,485,439,393,360,332,,84,56,43,43,57,73,74,74,73,73
NOR,CAN,,,,,,,,,,,,,,,,,,,,2,,,2,2,,2,2,,,,1,1,1,1,1
MKD,FIN,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9,12,13,13,14,15,8,9
PER,CRI,,,,,,,,,,,,,,,,,,,,,,,,,5,223,233,236,230,230,230,230,230,230,230
NGA,ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0
MNG,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,171,167,193,202,178,186,178
SOM,SEN,,,,,,,,,,,,,,,,,,,1,,,9,6,7,7,7,7,7,7,7,5,3,3,3,3
LBY,NZL,,,,,,,,,,,,,,,,,,,,,,2,7,7,,7,6,1,2,8,9,8,8,8,8
ZAF,GMB,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
CMR,USA,,,,,,,,,,,,,,,,,,19,45,119,271,423,547,755,1006,1376,1849,2759,2962,3414,4684,6713,7068,7279,7420
BFA,SWE,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,,6,,,,1,1,1,1,2,2
BEN,CHE,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,9,6,12,21,25
MEX,NLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
YEM,GBR,,,,,,,,,,,,,,1,1,5,10,10,10,10,10,10,10,10,,5,,,33,48,65,75,88,109,141
GEO,AUS,,,,,,,,,,,,,,,,,,,,,,8,8,2,7,8,14,16,16,11,9,3,14,14,10
RUS,KAZ,,,,,,,,,,,,,,,,,,,,,,6000,548,532,7043,12671,11895,13695,13684,13684,5000,3713,3692,3692,3692
MEX,FRA,,,,,,,,,,,,,,,,,,,,,,5,,7,,,,,,,,5,,5,5
ZWE,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,10,10,14,14,16
KWT,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
GHA,BEL,,,,,,,,,,,,,,,,,,,,,,112,112,69,47,55,17,7,7,6,4,8,4,4,8
LKA,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,
ESH,MYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
COD,KEN,,,,,,,,,,,,,,60,,,200,,,,,206,139,388,251,251,1297,1134,1153,2367,2306,2385,2674,2927,3608
MDA,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,95,245,264,278,287,289,293
CPV,USA,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,
TCD,MAR,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,10,10,10,2,2,2,4,5
CAF,FRA,,,,,,,,,,,,,,,,,,,,,,61,61,63,65,82,118,220,309,383,440,468,497,530,565
RUS,SVN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,6,7,7,7,7
POL,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2
PAK,KHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
ARG,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1
PAK,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
IRN,FIN,,,,,,,,,,,,,,,,,,,,,,,,1526,1812,2496,2550,1222,1402,1569,1683,1806,238,260,278
FRA,TUN,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
TCD,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,49,37,46,29,33,34,39
DZA,CHE,,,,,,,,,,,,,,,,,,,,,,26,115,42,172,186,217,226,254,284,297,265,242,217,211
AGO,MYS,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
CMR,LBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2
UZB,USA,,,,,,,,,,,,,,,,,,,,,,119,169,240,1108,1853,2634,3161,3260,3017,2810,5202,1423,1568,1697
CPV,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SOM,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
RWA,NOR,,,,,,,,,,,,,,,,,,,,,,,55,144,196,207,253,307,344,367,408,444,150,158,156
DZA,IDN,,,,,,,,,,,,,,,,,,,,,,4,,3,2,2,2,5,3,4,,,,,
MAR,NOR,,,,,,,,,,,,,,,,,,,,,,,2,2,8,6,7,5,6,9,7,10,13,15,15
KAZ,PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4
BDI,MLI,,,,,,,,,,,,,,,,,,,,,,32,39,38,37,38,38,40,43,49,50,50,51,51,51
SAU,AUS,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,1,4,5,5,16,28,16,16,16
ERI,BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
AGO,USA,,,,,,,,,,,,,,212,149,133,151,115,102,90,54,19,22,38,77,134,217,266,208,232,254,372,253,248,250
GEO,KAZ,,,,,,,,,,,,,,,,,,,,5,,,3,3,10,10,,,,,,,,,
NIC,ESP,,,,,,,,,,,,,,,,,4,4,4,,,,,,,,,,,,,,,,
CUB,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,10,7
IND,MRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
MRT,BFA,,,,,,,,,,,,,,,,,,,2,,,,12,10,10,10,,,,1,2,2,,,1
COD,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,7370,7096,6668,6280,3563,4202,4418,6093
IRQ,CHN,,,,,,,,,,,,,,,,,,,10,11,,,,4,,1,2,2,3,2,5,5,42,23,34
PRK,SGP,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MOZ,LBR,,,,,,,,,,,,,,,,,,,7,7,6,6,,,,,,,,,,,,,
TGO,MRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,36,48,51,51
IND,CAN,,,,,,,,,,,,,,,,,,,,1124,1496,1868,2048,2296,,3196,3803,3807,3514,3589,3512,3750,7114,6718,6245
PAN,CAN,,,,,,,,,,,,,,,,,,,,143,113,83,44,29,,21,25,15,8,14,19,26,43,45,44
LBR,SWE,,,,,,,,,,,,,,,,1,14,22,22,30,36,43,44,48,,48,37,32,142,171,175,196,34,31,32
NGA,COD,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
CUB,DOM,,,,,,,,,,,,,,,,,,,69,30,30,30,31,4,6,34,,,,,,,,,
TGO,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
IRN,DNK,,,,,,,,,,,,,,,2808,3186,3552,3730,3980,4117,3811,3506,2920,2251,2816,2460,1774,1771,1691,1665,1755,1617,771,805,864
CIV,MLI,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,617,1504,2704,2712,2066,2088,2078,2028
BIH,ARG,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,8,8,8,8,8,6,6
SDN,NAM,,,,,,,,,,,,,,,,,,,,,,,2,1,8,,,,4,2,2,,,,5
DJI,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2
CRI,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,8,,31,26,23,8
LBR,MOZ,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,1,1,1,1
NOR,USA,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,1,1,1,1,1,1,1
BGR,TUR,300,,,290,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,
IRN,FJI,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
EST,FRA,,,,,,,,,,,,,,,,,,,,,,22,23,23,,,14,14,12,11,11,10,10,10,10
RUS,POL,,,,,,,,,,,,,,,,,,,,,,,7,8,11,37,244,469,674,1671,3785,6024,9355,12034,14510
DZA,BRA,,,,,,,,,,,,,,,,,,,,,,,5,5,5,7,7,6,6,5,6,5,5,6,7
THA,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,1,1,1
BEN,NGA,,,,,,,,,,,,,,,,,,,23,23,23,23,23,23,23,23,23,23,,,,,,,
AFG,LKA,,,,,,,,,,,,,,,,,,,,6,3,1,1,9,9,1,1,1,12,15,4,4,3,3,0
BIH,ZWE,,,,,,,,,,,,,,,,,,,14,37,,,,5,5,,5,5,5,9,,,,,
BOL,NOR,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,,,,,,,,
UKR,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,10,24,57,88,136,162,163,197,199,193
VEN,PER,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,1,1,1,7,10,12
TUR,CHE,,,,,,,,,,,,,,,,,,,2801,3410,3640,3870,5549,4580,5952,6229,6171,5859,5779,5613,5501,5516,5345,5245,4900
COG,CUB,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,2,2,1,1,,,
LBR,TUN,,,,,,,,,,,,,,,,,,,,,,1,,,2,2,,,,,,,,,
BOL,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8
BFA,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,5,5
FRA,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
BGD,NZL,,,,,,,,,,,,,,,,,,,,,,4,4,4,,,1,1,2,3,3,2,2,6,7
COD,EGY,,,,,,,,,,,,,,,,,,,7,7,7,8,28,16,13,,9,10,8,15,14,20,25,26,29
UGA,NLD,,,,,,,,,,,,,,,,,,22,22,22,28,34,36,34,,31,44,53,58,66,67,90,95,112,126
ESP,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,38,39,2431,18,6,3
IRN,JOR,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,0
SLV,MEX,,,,,,44000,140000,120000,120000,120000,120000,120000,120000,119894,3847,4033,4200,4157,4009,3324,2339,1354,1332,1324,1995,1960,1937,1913,1687,1681,1680,1679,869,171,183
LBY,SVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CAF,BEN,,,,,,,,,,,,,,,,,,,,,,,2,2,2,6,33,52,48,42,37,4,11,9,11
GIN,CIV,300000,500000,,,,,,,,,,,,,,,,,2,2,,,4,4,4,,2,3,7,7,7,5,2,3,3
FJI,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
SDN,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,6,5,3,1,0
IDN,PNG,,,,1000,1000,1000,150,2200,1230,10950,11750,11290,9620,9241,7715,7080,6089,6679,7665,8456,9315,10175,8198,8198,,5862,4941,4941,7491,7626,9991,10177,10000,10000,9689
SEN,TGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,
COD,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,8,8,8,8
QAT,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2
RWA,MRT,,,,,,,,,,,,,,,,,,,,2,2,2,3,,,,,,,,,,,,
UZB,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
DZA,LIE,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,1,1,1,1
ISR,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,5,8
CHL,MEX,,,,,,,,1000,,,,,980,,,,,,579,534,,,17,17,19,18,18,8,4,2,2,2,2,2,2
RUS,NGA,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,
CAF,NGA,,,,,,,,,,,,,,,,,,,7,8,,,8,8,,,14,14,14,14,6,6,7,7,7
CUB,GTM,,,,,,,,,,,,,,,,,,,,,,16,17,9,9,9,8,8,9,7,8,9,9,1,1
TTO,CAN,,,,,,,,,,,,,,,,,,,,12,12,12,14,18,,14,16,17,22,21,42,91,145,164,186
CMR,NOR,,,,,,,,,,,,,,,,,,,,,,,2,6,9,14,28,28,32,34,36,36,31,29,30
RWA,COM,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,,,,,,,
POL,DNK,,,,,,,,,,,,,,,727,740,731,643,643,643,516,390,154,21,34,12,1,3,3,3,2,2,2,2,2
MNG,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
IND,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2
HRV,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
SDN,MWI,,,,,,,,,,,,,,,,,,,,,,1,,2,2,,,3,3,3,3,,,3,2
WSM,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,0
ESH,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,4,4,5
LBN,BRA,,,,,,,,,,,,,,,,,,,,,19,18,19,25,23,23,19,14,14,14,38,27,27,27,29
NAM,ZWE,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,2,,,,,
GMB,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2
CHN,BEL,,,,,,,,,,,,,,,,,,,,,,,,85,13,52,6,5,10,33,97,149,225,273,384
IND,GBR,,,,,,,,,,,,,,4,4,179,369,829,859,890,925,960,980,1010,,1275,1145,775,851,838,819,827,832,820,674
ETH,GHA,,,,,,,,,,,,,,,,,,,7,7,7,7,7,6,6,6,5,5,,,,,,1,3
LBR,ERI,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
BGR,CHE,,,,,,,,,,,,,,,,,,,149,120,,,,45,45,36,40,39,38,25,17,21,19,22,5
ARM,AUT,,,,,,,,,,,,,,,,,,,,,,,,1,2,22,28,38,64,111,174,309,468,715,797
KGZ,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
DJI,NOR,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,
GIN,SWE,,,,,,,,,,,,,,,,,1,7,7,7,7,7,7,7,,7,8,3,3,11,14,16,25,32,41
BRA,USA,,,,,,,,,,,,,,,,,,,2,4,25,46,60,90,151,173,195,231,158,199,261,436,502,528,594
PHL,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
TCD,SDN,,,,,1000,4000,9000,2000,1000,121000,123000,95000,75000,70000,68503,130613,20700,16000,141400,141400,72900,4400,4400,4400,4400,4400,,,5023,5023,5023,25023,45024,41202,41138
CHN,COL,,,,,,,,,,,,,,,,,,,4,5,,,5,5,5,5,5,5,1,1,1,1,1,1,1
BLR,NLD,,,,,,,,,,,,,,,,,,,,,,10,10,10,,14,24,33,43,49,68,75,87,97,100
GEO,POL,,,,,,,,,,,,,,,,,,,,,,,6,6,7,15,17,17,23,23,24,24,20,20,19
IRN,TCD,,,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,5,,,,,,,
ZAF,GRC,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,
IND,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,
ETH,BWA,,,,,,,,,,,,,,,,,,,12,,5,5,3,2,2,6,12,15,15,15,9,9,6,4,3
CZE,SRB,,,,,,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,
GNB,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
ALB,EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
VEN,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
LAO,CHE,,,,,,,,,,,,,,,,,,,640,565,,,,281,268,251,238,217,204,192,188,182,179,172,164
RUS,LUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ECU,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,
BGR,FRA,,,,,,,,,,,,,,,,,,,,,,412,419,326,208,129,105,88,80,73,70,80,81,83,84
YEM,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,494,542,296,161,242,358,396
SOM,TZA,,,,,,,,,,,,,,,,,1000,1200,2513,3348,4088,4829,3000,4200,3300,2991,3424,3493,3330,2867,2663,2086,2059,1525,1447
RWA,LBR,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1
SWE,USA,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,4,4,4,4,4,4,9
BLZ,USA,,,,,,,,,,,,,,,,,,,,,,,,,6,7,,,9,6,5,13,13,13,11
TZA,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,4,4,1,10
ERI,FRA,,,,,,,,,,,,,,,,,,,,,,2,,3,,,17,20,22,31,63,104,162,222,369
IRN,UKR,,,,,,,,,,,,,,,,,,,,,,140,157,181,26,24,28,28,28,27,30,35,34,34,38
CHN,ISL,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,1
PER,DOM,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,,,,,,,,,,
USA,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
GNQ,FRA,,,,,,,,,,,,,,,,,,,,,,21,26,28,32,25,25,22,25,27,29,30,30,30,31
UGA,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CMR,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
GIN,EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
TKM,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11,18,24,33,33,36
BEL,CAN,,,,,,,,,,,,,,,,,,,,2,3,5,9,9,,10,6,2,3,1,1,1,2,7,12
ECU,PER,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,2,2,2,2,1
CAF,CMR,,,,,,,,15000,,,,,,,,,,,,,166,168,,,,,348,350,379,630,712,22342,48498,66602,85824
PAN,VEN,,,,,,,,,,,,,,,,,,,9,9,6,4,4,,,,,,,,,,,,
ERI,LBN,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,,,6,5,3
CIV,SWE,,,,,,,,,,,,,,,,1,10,20,23,29,29,30,30,34,,33,25,18,17,13,26,37,33,37,40
BGD,SVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
ALB,ESP,,,,,,,,,,,,,,,,,,,4,8,9,11,25,28,36,46,47,47,43,40,52,50,36,32,24
KWT,IRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11
BIH,ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,
